"species","genus","family","species.relative","genus.relative","family.in.genus.list","output.note"
"Erysimum cheiranthoides","Erysimum","Brassicaceae",NA,NA,NA,"present in megatree"
"Erysimum hungaricum","Erysimum","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Erysimum pusillum","Erysimum","Brassicaceae",NA,NA,NA,"present in megatree"
"Erysimum × cheiri","Erysimum","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Eupatorium cannabinum","Eupatorium","Asteraceae",NA,NA,NA,"present in megatree"
"Euphorbia amygdaloides","Euphorbia","Euphorbiaceae",NA,NA,NA,"present in megatree"
"Euphorbia dendroides","Euphorbia","Euphorbiaceae",NA,NA,NA,"present in megatree"
"Euphorbia helioscopia","Euphorbia","Euphorbiaceae",NA,NA,NA,"present in megatree"
"Euphorbia paralias","Euphorbia","Euphorbiaceae",NA,NA,NA,"present in megatree"
"Euphorbia peplis","Euphorbia","Euphorbiaceae",NA,NA,NA,"present in megatree"
"Euphorbia platyphyllos","Euphorbia","Euphorbiaceae",NA,NA,NA,"insertion based on genus"
"Euphorbia portlandica","Euphorbia","Euphorbiaceae",NA,NA,NA,"present in megatree"
"Euphorbia terracina","Euphorbia","Euphorbiaceae",NA,NA,NA,"present in megatree"
"Euphrasia alpina","Euphrasia","Orobanchaceae",NA,NA,NA,"insertion based on genus"
"Euphrasia frigida","Euphrasia","Orobanchaceae",NA,NA,NA,"insertion based on genus"
"Euphrasia nemorosa","Euphrasia","Orobanchaceae",NA,NA,NA,"present in megatree"
"Euphrasia tetraquetra","Euphrasia","Orobanchaceae",NA,NA,NA,"present in megatree"
"Fagus sylvatica","Fagus","Fagaceae",NA,NA,NA,"insertion based on genus"
"Falcaria vulgaris","Falcaria","Apiaceae",NA,NA,NA,"present in megatree"
"Fallopia convolvulus","Fallopia","Polygonaceae",NA,NA,NA,"present in megatree"
"Ferulago galbanifera","Ferulago","Apiaceae",NA,NA,NA,"insertion based on genus"
"Festuca alpina","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca altissima","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca ambigua","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca bromoides","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca drymeja","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca eskia","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca fasciculata","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca filiformis","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca halleri","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca heterophylla","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca hystrix","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca indigesta","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca juncifolia","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca ligustica","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca longifolia","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca maritima","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca membranacea","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca myuros","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca nigrescens","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca norica","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca ovina","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca quadriflora","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca rothmaleri","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca rubra","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca rupicola","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca scabriculmis","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca scariosa","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca trachyphylla","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca vaginata","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca valesiaca","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Festuca varia","Festuca","Poaceae",NA,NA,NA,"insertion based on genus"
"Festuca violacea","Festuca","Poaceae",NA,NA,NA,"present in megatree"
"Ficus carica","Ficus","Moraceae",NA,NA,NA,"present in megatree"
"Filago germanica","Filago","Asteraceae",NA,NA,NA,"insertion based on genus"
"Filago lutescens","Filago","Asteraceae",NA,NA,NA,"insertion based on genus"
"Filago pyramidata","Filago","Asteraceae",NA,NA,NA,"present in megatree"
"Filipendula ulmaria","Filipendula","Rosaceae",NA,NA,NA,"present in megatree"
"Filipendula vulgaris","Filipendula","Rosaceae",NA,NA,NA,"present in megatree"
"Foeniculum vulgare","Foeniculum","Apiaceae",NA,NA,NA,"present in megatree"
"Fragaria vesca","Fragaria","Rosaceae",NA,NA,NA,"present in megatree"
"Frangula alnus","Frangula","Rhamnaceae",NA,NA,NA,"present in megatree"
"Fraxinus angustifolia","Fraxinus","Oleaceae",NA,NA,NA,"present in megatree"
"Fraxinus excelsior","Fraxinus","Oleaceae",NA,NA,NA,"present in megatree"
"Fraxinus ornus","Fraxinus","Oleaceae",NA,NA,NA,"present in megatree"
"Fraxinus pennsylvanica","Fraxinus","Oleaceae",NA,NA,NA,"present in megatree"
"Fritillaria meleagris","Fritillaria","Liliaceae",NA,NA,NA,"present in megatree"
"Fritillaria orientalis","Fritillaria","Liliaceae",NA,NA,NA,"present in megatree"
"Fumana ericoides","Fumana","Cistaceae",NA,NA,NA,"insertion based on family"
"Fumana procumbens","Fumana","Cistaceae",NA,NA,NA,"insertion based on family"
"Fumana thymifolia","Fumana","Cistaceae",NA,NA,NA,"insertion based on family"
"Fumaria capreolata","Fumaria","Papaveraceae",NA,NA,NA,"present in megatree"
"Fumaria densiflora","Fumaria","Papaveraceae",NA,NA,NA,"present in megatree"
"Fumaria muralis","Fumaria","Papaveraceae",NA,NA,NA,"present in megatree"
"Fumaria officinalis","Fumaria","Papaveraceae",NA,NA,NA,"present in megatree"
"Galactites tomentosus","Galactites","Asteraceae",NA,NA,NA,"present in megatree"
"Galatella linosyris","Galatella","Asteraceae",NA,NA,NA,"present in megatree"
"Galega officinalis","Galega","Fabaceae",NA,NA,NA,"present in megatree"
"Galeopsis angustifolia","Galeopsis","Lamiaceae",NA,NA,NA,"present in megatree"
"Galeopsis tetrahit","Galeopsis","Lamiaceae",NA,NA,NA,"present in megatree"
"Galinsoga parviflora","Galinsoga","Asteraceae",NA,NA,NA,"present in megatree"
"Galium aparine","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Galium boreale","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Galium corsicum","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Galium fruticosum","Galium","Rubiaceae",NA,NA,NA,"insertion based on genus"
"Galium incrassatum","Galium","Rubiaceae",NA,NA,NA,"insertion based on genus"
"Galium mollugo","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Galium obliquum","Galium","Rubiaceae",NA,NA,NA,"insertion based on genus"
"Galium palustre","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Galium parisiense","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Galium rubioides","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Galium spurium","Galium","Rubiaceae",NA,NA,NA,"insertion based on genus"
"Galium sterneri","Galium","Rubiaceae",NA,NA,NA,"insertion based on genus"
"Galium uliginosum","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Galium verum","Galium","Rubiaceae",NA,NA,NA,"present in megatree"
"Gastridium ventricosum","Gastridium","Poaceae",NA,NA,NA,"present in megatree"
"Gaudinia fragilis","Gaudinia","Poaceae",NA,NA,NA,"present in megatree"
"Genista anglica","Genista","Fabaceae",NA,NA,NA,"present in megatree"
"Genista cinerea","Genista","Fabaceae",NA,NA,NA,"present in megatree"
"Genista florida","Genista","Fabaceae",NA,NA,NA,"insertion based on genus"
"Genista pilosa","Genista","Fabaceae",NA,NA,NA,"present in megatree"
"Genista sagittalis","Genista","Fabaceae",NA,NA,NA,"insertion based on genus"
"Genista scorpius","Genista","Fabaceae",NA,NA,NA,"insertion based on genus"
"Genista tinctoria","Genista","Fabaceae",NA,NA,NA,"present in megatree"
"Genista umbellata","Genista","Fabaceae",NA,NA,NA,"insertion based on genus"
"Gentiana acaulis","Gentiana","Gentianaceae",NA,NA,NA,"present in megatree"
"Gentiana brachyphylla","Gentiana","Gentianaceae",NA,NA,NA,"insertion based on genus"
"Gentiana burseri","Gentiana","Gentianaceae",NA,NA,NA,"insertion based on genus"
"Gentiana clusii","Gentiana","Gentianaceae",NA,NA,NA,"insertion based on genus"
"Gentiana cruciata","Gentiana","Gentianaceae",NA,NA,NA,"insertion based on genus"
"Gentiana lutea","Gentiana","Gentianaceae",NA,NA,NA,"insertion based on genus"
"Gentiana nivalis","Gentiana","Gentianaceae",NA,NA,NA,"present in megatree"
"Gentiana pneumonanthe","Gentiana","Gentianaceae",NA,NA,NA,"present in megatree"
"Gentiana punctata","Gentiana","Gentianaceae",NA,NA,NA,"insertion based on genus"
"Gentiana pyrenaica","Gentiana","Gentianaceae",NA,NA,NA,"insertion based on genus"
"Gentiana septemfida","Gentiana","Gentianaceae",NA,NA,NA,"insertion based on genus"
"Gentiana verna","Gentiana","Gentianaceae",NA,NA,NA,"present in megatree"
"Gentianella amarella","Gentianella","Gentianaceae",NA,NA,NA,"present in megatree"
"Gentianella anisodonta","Gentianella","Gentianaceae",NA,NA,NA,"present in megatree"
"Geranium columbinum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium dissectum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium divaricatum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium lucidum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium molle","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium pratense","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium purpureum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium pusillum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium pyrenaicum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium robertianum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium rotundifolium","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium sanguineum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geranium sylvaticum","Geranium","Geraniaceae",NA,NA,NA,"present in megatree"
"Geum montanum","Geum","Rosaceae",NA,NA,NA,"present in megatree"
"Geum rhodopeum","Geum","Rosaceae",NA,NA,NA,"insertion based on genus"
"Geum rivale","Geum","Rosaceae",NA,NA,NA,"present in megatree"
"Geum urbanum","Geum","Rosaceae",NA,NA,NA,"present in megatree"
"Gladiolus illyricus","Gladiolus","Iridaceae",NA,NA,NA,"present in megatree"
"Gladiolus italicus","Gladiolus","Iridaceae",NA,NA,NA,"present in megatree"
"Gladiolus palustris","Gladiolus","Iridaceae",NA,NA,NA,"present in megatree"
"Gladiolus tenuis","Gladiolus","Iridaceae",NA,NA,NA,"insertion based on genus"
"Glaucium flavum","Glaucium","Papaveraceae",NA,NA,NA,"present in megatree"
"Glebionis coronaria","Glebionis","Asteraceae",NA,NA,NA,"present in megatree"
"Glebionis segetum","Glebionis","Asteraceae",NA,NA,NA,"present in megatree"
"Globularia bisnagarica","Globularia","Plantaginaceae",NA,NA,NA,"present in megatree"
"Globularia cordifolia","Globularia","Plantaginaceae",NA,NA,NA,"present in megatree"
"Globularia nudicaulis","Globularia","Plantaginaceae",NA,NA,NA,"present in megatree"
"Glyceria declinata","Glyceria","Poaceae",NA,NA,NA,"insertion based on genus"
"Glyceria fluitans","Glyceria","Poaceae",NA,NA,NA,"present in megatree"
"Glyceria notata","Glyceria","Poaceae",NA,NA,NA,"present in megatree"
"Glycyrrhiza echinata","Glycyrrhiza","Fabaceae",NA,NA,NA,"insertion based on genus"
"Gnaphalium uliginosum","Gnaphalium","Asteraceae",NA,NA,NA,"present in megatree"
"Goodyera repens","Goodyera","Orchidaceae",NA,NA,NA,"present in megatree"
"Gypsophila fastigiata","Gypsophila","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Gypsophila paniculata","Gypsophila","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Gypsophila struthium","Gypsophila","Caryophyllaceae",NA,NA,NA,"insertion based on genus"
"Hedera helix","Hedera","Araliaceae",NA,NA,NA,"present in megatree"
"Hedypnois rhagadioloides","Hedypnois","Asteraceae",NA,NA,NA,"present in megatree"
"Hedysarum caucasicum","Hedysarum","Fabaceae",NA,NA,NA,"present in megatree"
"Hedysarum hedysaroides","Hedysarum","Fabaceae",NA,NA,NA,"present in megatree"
"Helianthemum aegyptiacum","Helianthemum","Cistaceae",NA,NA,NA,"insertion based on genus"
"Helianthemum apenninum","Helianthemum","Cistaceae",NA,NA,NA,"insertion based on genus"
"Helianthemum croceum","Helianthemum","Cistaceae",NA,NA,NA,"insertion based on genus"
"Helianthemum hirtum","Helianthemum","Cistaceae",NA,NA,NA,"insertion based on genus"
"Helianthemum nummularium","Helianthemum","Cistaceae",NA,NA,NA,"present in megatree"
"Helianthemum oelandicum","Helianthemum","Cistaceae",NA,NA,NA,"present in megatree"
"Helianthemum squamatum","Helianthemum","Cistaceae",NA,NA,NA,"insertion based on genus"
"Helianthemum syriacum","Helianthemum","Cistaceae",NA,NA,NA,"insertion based on genus"
"Helianthemum violaceum","Helianthemum","Cistaceae",NA,NA,NA,"insertion based on genus"
"Helichrysum arenarium","Helichrysum","Asteraceae",NA,NA,NA,"present in megatree"
"Helichrysum italicum","Helichrysum","Asteraceae",NA,NA,NA,"present in megatree"
"Helichrysum litoreum","Helichrysum","Asteraceae",NA,NA,NA,"insertion based on genus"
"Helichrysum orientale","Helichrysum","Asteraceae",NA,NA,NA,"present in megatree"
"Helichrysum stoechas","Helichrysum","Asteraceae",NA,NA,NA,"present in megatree"
"Helictochloa marginata","Helictochloa","Poaceae",NA,NA,NA,"present in megatree"
"Helictochloa pratensis","Helictochloa","Poaceae",NA,NA,NA,"present in megatree"
"Helictochloa versicolor","Helictochloa","Poaceae",NA,NA,NA,"insertion based on genus"
"Heliosperma alpestre","Heliosperma","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Heliosperma pusillum","Heliosperma","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Helleborus foetidus","Helleborus","Ranunculaceae",NA,NA,NA,"present in megatree"
"Helminthotheca echioides","Helminthotheca","Asteraceae",NA,NA,NA,"present in megatree"
"Helosciadium nodiflorum","Helosciadium","Apiaceae",NA,NA,NA,"present in megatree"
"Helosciadium repens","Helosciadium","Apiaceae",NA,NA,NA,"present in megatree"
"Heracleum sphondylium","Heracleum","Apiaceae",NA,NA,NA,"present in megatree"
"Herminium monorchis","Herminium","Orchidaceae",NA,NA,NA,"present in megatree"
"Herniaria ciliolata","Herniaria","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Herniaria glabra","Herniaria","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Hexaphylla pubescens","Hexaphylla","Rubiaceae",NA,NA,NA,"insertion based on family"
"Hibiscus trionum","Hibiscus","Malvaceae",NA,NA,NA,"present in megatree"
"Hieracium amplexicaule","Hieracium","Asteraceae",NA,NA,NA,"present in megatree"
"Hieracium hypochoeroides","Hieracium","Asteraceae",NA,NA,NA,"insertion based on genus"
"Hieracium lachenalii","Hieracium","Asteraceae",NA,NA,NA,"present in megatree"
"Hieracium maculatum","Hieracium","Asteraceae",NA,NA,NA,"insertion based on genus"
"Hieracium murorum","Hieracium","Asteraceae",NA,NA,NA,"present in megatree"
"Hieracium sabaudum","Hieracium","Asteraceae",NA,NA,NA,"present in megatree"
"Hieracium umbellatum","Hieracium","Asteraceae",NA,NA,NA,"present in megatree"
"Hieracium villosum","Hieracium","Asteraceae",NA,NA,NA,"present in megatree"
"Himantoglossum hircinum","Himantoglossum","Orchidaceae",NA,NA,NA,"insertion based on genus"
"Hippocrepis ciliata","Hippocrepis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Hippocrepis comosa","Hippocrepis","Fabaceae",NA,NA,NA,"present in megatree"
"Hippocrepis emerus","Hippocrepis","Fabaceae",NA,NA,NA,"insertion based on genus"
"Hippocrepis unisiliquosa","Hippocrepis","Fabaceae",NA,NA,NA,"present in megatree"
"Hippophae rhamnoides","Hippophae","Elaeagnaceae",NA,NA,NA,"present in megatree"
"Hippuris vulgaris","Hippuris","Plantaginaceae",NA,NA,NA,"present in megatree"
"Hirschfeldia incana","Hirschfeldia","Brassicaceae",NA,NA,NA,"present in megatree"
"Holcus lanatus","Holcus","Poaceae",NA,NA,NA,"present in megatree"
"Holcus mollis","Holcus","Poaceae",NA,NA,NA,"insertion based on genus"
"Homogyne alpina","Homogyne","Asteraceae",NA,NA,NA,"present in megatree"
"Honckenya peploides","Honckenya","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Hordelymus europaeus","Hordelymus","Poaceae",NA,NA,NA,"present in megatree"
"Hordeum bulbosum","Hordeum","Poaceae",NA,NA,NA,"present in megatree"
"Hordeum marinum","Hordeum","Poaceae",NA,NA,NA,"present in megatree"
"Hordeum murinum","Hordeum","Poaceae",NA,NA,NA,"present in megatree"
"Hordeum secalinum","Hordeum","Poaceae",NA,NA,NA,"present in megatree"
"Horminum pyrenaicum","Horminum","Lamiaceae",NA,NA,NA,"present in megatree"
"Hornungia petraea","Hornungia","Brassicaceae",NA,NA,NA,"present in megatree"
"Hottonia palustris","Hottonia","Primulaceae",NA,NA,NA,"present in megatree"
"Humulus lupulus","Humulus","Cannabaceae",NA,NA,NA,"present in megatree"
"Hyacinthoides non-scripta","Hyacinthoides","Asparagaceae",NA,NA,NA,"present in megatree"
"Hylotelephium telephium","Hylotelephium","Crassulaceae",NA,NA,NA,"present in megatree"
"Hyoscyamus albus","Hyoscyamus","Solanaceae",NA,NA,NA,"present in megatree"
"Hyoscyamus niger","Hyoscyamus","Solanaceae",NA,NA,NA,"present in megatree"
"Hyoseris lucida","Hyoseris","Asteraceae",NA,NA,NA,"present in megatree"
"Hypecoum procumbens","Hypecoum","Papaveraceae",NA,NA,NA,"present in megatree"
"Hypericum aegypticum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","insertion based on genus"
"Hypericum androsaemum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum barbatum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum elodes","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum empetrifolium","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum hirsutum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum humifusum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum linariifolium","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","insertion based on genus"
"Hypericum linarioides","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum maculatum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","insertion based on genus"
"Hypericum montanum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum perforatum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum pulchrum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum tetrapterum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypericum trichocaulon","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","insertion based on genus"
"Hypericum undulatum","Hypericum","Clusiaceae",NA,NA,"Hypericaceae","present in megatree"
"Hypochaeris glabra","Hypochaeris","Asteraceae",NA,NA,NA,"present in megatree"
"Hypochaeris maculata","Hypochaeris","Asteraceae",NA,NA,NA,"insertion based on genus"
"Hypochaeris radicata","Hypochaeris","Asteraceae",NA,NA,NA,"present in megatree"
"Hypochaeris robertia","Hypochaeris","Asteraceae",NA,NA,NA,"present in megatree"
"Hyssopus officinalis","Hyssopus","Lamiaceae",NA,NA,NA,"present in megatree"
"Iberis amara","Iberis","Brassicaceae",NA,NA,NA,"present in megatree"
"Iberis carnosa","Iberis","Brassicaceae",NA,NA,NA,"insertion based on genus"
"Iberis saxatilis","Iberis","Brassicaceae",NA,NA,NA,"present in megatree"
"Illecebrum verticillatum","Illecebrum","Caryophyllaceae",NA,NA,NA,"present in megatree"
"Impatiens capensis","Impatiens","Balsaminaceae",NA,NA,NA,"present in megatree"
"Impatiens noli-tangere","Impatiens","Balsaminaceae",NA,NA,NA,"present in megatree"
"Inula candida","Inula","Asteraceae",NA,NA,NA,"insertion based on genus"
"Inula helenium","Inula","Asteraceae",NA,NA,NA,"present in megatree"
"Iris graminea","Iris","Iridaceae",NA,NA,NA,"insertion based on genus"
"Iris pseudacorus","Iris","Iridaceae",NA,NA,NA,"insertion based on genus"
"Iris sibirica","Iris","Iridaceae",NA,NA,NA,"insertion based on genus"
"Iris spuria","Iris","Iridaceae",NA,NA,NA,"insertion based on genus"
"Isatis tinctoria","Isatis","Brassicaceae",NA,NA,NA,"present in megatree"
"Isolepis cernua","Isolepis","Cyperaceae",NA,NA,NA,"present in megatree"
"Isolepis fluitans","Isolepis","Cyperaceae",NA,NA,NA,"present in megatree"
"Isolepis setacea","Isolepis","Cyperaceae",NA,NA,NA,"present in megatree"
"Jacobaea aquatica","Jacobaea","Asteraceae",NA,NA,NA,"present in megatree"
"Jacobaea erucifolia","Jacobaea","Asteraceae",NA,NA,NA,"present in megatree"
"Jacobaea incana","Jacobaea","Asteraceae",NA,NA,NA,"present in megatree"
"Jacobaea maritima","Jacobaea","Asteraceae",NA,NA,NA,"present in megatree"
"Jacobaea vulgaris","Jacobaea","Asteraceae",NA,NA,NA,"present in megatree"
"Jasione crispa","Jasione","Campanulaceae",NA,NA,NA,"present in megatree"
"Jasione heldreichii","Jasione","Campanulaceae",NA,NA,NA,"present in megatree"
"Jasione laevis","Jasione","Campanulaceae",NA,NA,NA,"present in megatree"
"Jasione montana","Jasione","Campanulaceae",NA,NA,NA,"present in megatree"
"Juncus acutiflorus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus acutus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus articulatus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus balticus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus biglumis","Juncus","Juncaceae",NA,NA,NA,"insertion based on genus"
"Juncus bufonius","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus bulbosus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus castaneus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus compressus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus conglomeratus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus effusus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus filiformis","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus gerardi","Juncus","Juncaceae",NA,NA,NA,"insertion based on genus"
"Juncus heldreichianus","Juncus","Juncaceae",NA,NA,NA,"insertion based on genus"
"Juncus inflexus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus littoralis","Juncus","Juncaceae",NA,NA,NA,"insertion based on genus"
"Juncus maritimus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus pygmaeus","Juncus","Juncaceae",NA,NA,NA,"insertion based on genus"
"Juncus squarrosus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus subnodulosus","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juncus subulatus","Juncus","Juncaceae",NA,NA,NA,"insertion based on genus"
"Juncus triglumis","Juncus","Juncaceae",NA,NA,NA,"present in megatree"
"Juniperus oxycedrus","Juniperus","Cupressaceae",NA,NA,NA,"present in megatree"
"Jurinea humilis","Jurinea","Asteraceae",NA,NA,NA,"present in megatree"
"Kalmia procumbens","Kalmia","Ericaceae",NA,NA,NA,"present in megatree"
"Karpatiosorbus devoniensis","Karpatiosorbus","Rosaceae",NA,NA,NA,"insertion based on family"
"Kickxia elatine","Kickxia","Plantaginaceae",NA,NA,NA,"present in megatree"
"Kickxia spuria","Kickxia","Plantaginaceae",NA,NA,NA,"present in megatree"
"Knautia nevadensis","Knautia","Dipsacaceae",NA,NA,"Caprifoliaceae","insertion based on genus"
"Koeleria glauca","Koeleria","Poaceae",NA,NA,NA,"insertion based on genus"
"Koeleria macrantha","Koeleria","Poaceae",NA,NA,NA,"present in megatree"
"Koeleria splendens","Koeleria","Poaceae",NA,NA,NA,"insertion based on genus"
"Koeleria vallesiana","Koeleria","Poaceae",NA,NA,NA,"present in megatree"
"Krascheninnikovia ceratoides","Krascheninnikovia","Chenopodiaceae",NA,NA,"Amaranthaceae","present in megatree"
"Lactuca alpestris","Lactuca","Asteraceae",NA,NA,NA,"insertion based on genus"
"Lactuca muralis","Lactuca","Asteraceae",NA,NA,NA,"insertion based on genus"
"Lactuca perennis","Lactuca","Asteraceae",NA,NA,NA,"present in megatree"
"Lactuca quercina","Lactuca","Asteraceae",NA,NA,NA,"insertion based on genus"
"Lactuca saligna","Lactuca","Asteraceae",NA,NA,NA,"present in megatree"
"Lactuca serriola","Lactuca","Asteraceae",NA,NA,NA,"present in megatree"
"Lactuca virosa","Lactuca","Asteraceae",NA,NA,NA,"present in megatree"
"Lagoecia cuminoides","Lagoecia","Apiaceae",NA,NA,NA,"present in megatree"
"Lagurus ovatus","Lagurus","Poaceae",NA,NA,NA,"present in megatree"
"Lamarckia aurea","Lamarckia","Poaceae",NA,NA,NA,"present in megatree"
"Lamium album","Lamium","Lamiaceae",NA,NA,NA,"present in megatree"
"Lamium galeobdolon","Lamium","Lamiaceae",NA,NA,NA,"insertion based on genus"
"Lamium purpureum","Lamium","Lamiaceae",NA,NA,NA,"present in megatree"
"Lamyropsis cynaroides","Lamyropsis","Asteraceae",NA,NA,NA,"present in megatree"
"Lapsana communis","Lapsana","Asteraceae",NA,NA,NA,"present in megatree"
"Larix decidua","Larix","Pinaceae",NA,NA,NA,"present in megatree"
"Lathyrus annuus","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus aphaca","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus cicera","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus heterophyllus","Lathyrus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lathyrus hirsutus","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus inconspicuus","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus japonicus","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus linifolius","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus niger","Lathyrus","Fabaceae",NA,NA,NA,"insertion based on genus"
"Lathyrus nissolia","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus ochrus","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus palustris","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
"Lathyrus pratensis","Lathyrus","Fabaceae",NA,NA,NA,"present in megatree"
